"Run","TSSEnrichment","ReadsInTSS","ReadsInPromoter","ReadsInBlacklist","PromoterRatio","PassQC","NucleosomeRatio","nMultiFrags","nMonoFrags","nFrags","nDiFrags","DoubletScore","DoubletEnrichment","BlacklistRatio"
"SRR5354678",24.817,7745,27647,1656,0.352047572963887,1,0.969207622868606,6220,19940,39266,13106,25.8330800081771,3.1,0.0210869454489889
"SRR5355315",7.911,3236,14333,1388,0.18272565017848,1,0.399015481201398,2828,28034,39220,8358,0,0.4,0.0176950535441101
"SRR5355185",9.299,4170,17587,728,0.224518715212174,1,0.381809201241885,1421,28344,39166,9401,0,0.3,0.00929377521319512
"SRR5354777",17.918,6524,23803,1314,0.303881016213456,1,0.64021274813636,4902,23878,39165,10385,115.17616690741,6.1,0.016775181922635
"SRR5354236",9.858,4082,15664,1294,0.200153335037056,1,0.374815543531727,1605,28462,39130,9063,11.6790423073282,2.4,0.0165346281625351
"SRR5355929",11.587,4880,18825,962,0.240963084327479,1,0.930990162637797,5130,20229,39062,13703,136.966876329498,6.7,0.0123137576160975
"SRR5354050",14.756,5872,20901,1014,0.267796740467405,1,0.583701960147721,3963,24641,39024,10420,279.930350029968,10.1,0.0129920049200492
"SRR5354267",11.902,4508,17934,645,0.229952558020259,1,1.04676674364896,5531,19052,38995,14412,71.7032149078389,4.8,0.00827029106295679
"SRR5354660",26.244,7952,28615,724,0.367339341189761,1,1.00396172051863,6288,19436,38949,13225,293.082328973909,10.4,0.00929420524275334
"SRR5355480",13.533,3089,12397,648,0.159483867647816,1,0.371660490559379,1337,28335,38866,9194,0,0.2,0.00833633510008748
"SRR5354769",13.256,4666,18241,1138,0.234894921190893,1,0.585269260605071,3880,24493,38828,10455,172.017597862291,7.6,0.0146543731327908
"SRR5353732",16.972,6214,22316,963,0.287770155258678,1,0.648414250488904,6028,23522,38774,9224,11.6790423073282,2.4,0.0124181152318564
"SRR5355014",15.544,5173,20258,860,0.261299143535239,1,0.505047367603665,3762,25756,38764,9246,323.306215343116,11.5,0.0110927664843669
"SRR5354342",15.532,5663,22478,1406,0.290053680189945,1,0.32598726986517,2054,29222,38748,7472,13.6521142302001,2.5,0.0181428718901621
"SRR5355322",5.557,2377,12327,452,0.159284145238403,1,0.526972100548518,3702,25341,38695,9652,0,0.3,0.00584054787440238
"SRR5355801",15.333,6334,23348,676,0.30189557526701,1,0.233460925039872,1131,31350,38669,6188,27.8375655190521,3.2,0.00874085184514728
"SRR5353716",15.107,5203,19950,1026,0.258051998447808,1,0.569618711170666,5706,24627,38655,8322,213.852119533482,8.6,0.0132712456344587
"SRR5354171",7.26,3989,15506,1801,0.200953837381094,1,0.729314208874944,3536,22310,38581,12735,68.3134454277262,4.7,0.0233405043933542
"SRR5354710",34.423,7023,23594,1497,0.305922929308646,1,1.05729833546735,4697,18744,38562,15121,94.5270966140051,5.5,0.0194103002956278
"SRR3986038",11.226,4127,16417,835,0.213113690058935,1,0.416847526209307,1619,27185,38517,9713,226.113164120341,8.9,0.010839369628995
"SRR5353891",16.035,5709,21137,1309,0.274527885289763,1,0.259182939194714,1153,30573,38497,6771,0,0.6,0.0170013247785542
"SRR5354099",16.544,3818,13383,2160,0.173877455565949,1,1.40765765765766,9287,15984,38484,13213,0,0.7,0.0280636108512629
"SRR5354756",10.651,4954,20922,969,0.272428969504414,1,0.557263362803147,4797,24658,38399,8944,108.160735160026,5.9,0.0126175160811479
"SRR5355734",16.676,7731,25524,1474,0.332976752680878,1,0.160966891830491,273,33013,38327,5041,35.2187277893649,3.5,0.0192292639653508
"SRR5353442",12.572,5460,21400,1576,0.279504728070634,1,0.325737636791799,1530,28876,38282,7876,0,0.4,0.020584086515856
"SRR5353432",10.069,5395,19047,2336,0.249084584401318,1,0.384286748732802,2234,27620,38234,8380,3.93216844700902,1.9,0.0305487262645813
"SRR5354033",9.388,1427,6095,1362,0.0798046455600073,1,1.65704146952407,8269,14372,38187,15546,0,0.6,0.01783329405295
"SRR5354486",13.539,5586,19755,987,0.259041200073431,1,0.346814071771687,1484,28312,38131,8335,71.7032149078389,4.8,0.0129422254858252
"SRR5354793",17.117,7451,27340,1132,0.35856678207953,1,0.562074899614849,3921,24406,38124,9797,144.466147809143,6.9,0.0148462910502571
"SRR5354169",12.868,6440,22784,1408,0.299096828397395,1,0.252276837086964,992,30415,38088,6681,81.4548780243773,5.1,0.0184835118672548
"SRR5354006",18.666,6787,24301,1095,0.320129100250296,1,0.755306849188364,6102,21623,37955,10230,32.5191691780254,3.4,0.0144249769463839
"SRR5355749",16.051,6363,23714,608,0.312750580291201,1,0.226528631510838,508,30910,37912,6494,0,0.6,0.00801856931842161
"SRR5355847",13.041,4926,17706,630,0.233915501889185,1,0.351485502071133,2007,28004,37847,7836,37.4272253319943,3.6,0.0083229846487172
"SRR5353977",11.516,4129,16436,862,0.217269458544839,1,0.947482236638863,7335,19422,37824,11067,3.93216844700902,1.9,0.0113948815566836
"SRR5354837",11.997,4956,18691,474,0.247104706504495,1,0.449153191815465,2082,26098,37820,9640,27.8375655190521,3.2,0.00626652564780539
"SRR5355811",12.597,5140,18840,1224,0.249127261186925,1,0.24998347107438,1419,30250,37812,6143,50.9173770223357,4.1,0.0161853379879403
"SRR5354625",27.067,8666,33637,3337,0.445877518557794,1,0.643143404774351,3136,22956,37720,11628,141.11909779047,6.8,0.0442338282078473
"SRR5354803",17.874,7591,26626,948,0.353214295189833,1,0.562709896761889,3717,24119,37691,9855,180.003728377949,7.8,0.01257594651243
"SRR5355644",16.414,6830,24118,884,0.320428336079077,1,0.412210589515554,804,26649,37634,10181,0,0.6,0.0117446989424457
"SRR5353440",13.989,6464,24421,1186,0.324695527309472,1,0.329961805064366,1756,28276,37606,7574,62.3405321423916,4.5,0.0157687603042068
"SRR5356067",24.187,6266,21257,1637,0.28303419258628,1,0.646512035778489,1659,22807,37552,13086,19.2104906702686,2.8,0.0217964422667235
"SRR5353995",17.928,6256,24429,502,0.325529022973189,1,0.993730074388948,7438,18820,37522,11264,0,0.2,0.00668940888012366
"SRR3986188",19.714,6272,21542,916,0.287065909757203,1,0.409133586209487,2656,26627,37521,8238,0,0.4,0.0122064976946243
"SRR5354312",18.246,6745,23624,833,0.314869115530202,1,0.698772811665082,3853,22083,37514,11578,323.306215343116,11.4,0.0111025217252226
