"","UMAP_1","UMAP_2","Cluster"
"SRR5355215",-0.752575073826595,8.72629158886376,12
"SRR5354423",0.535026397120671,3.77383702190819,1
"SRR5355296",-0.805478606808467,6.75282662304344,10
"SRR5354396",1.40859055103035,1.93745534809532,1
"SRR5355618",0.122388448130803,-8.06882149783668,5
"SRR5354367",0.992822568428235,2.45705430897179,1
"SRR5354652",0.619499947440343,0.62758081348839,1
"SRR5356022",1.48510923565598,-2.15311462489662,9
"SRR5354577",-0.147408280957027,4.25170843990746,1
"SRR5355123",-1.25997141419677,6.65928070934716,10
"SRR5354619",-0.395456348049922,3.90210621746483,1
"SRR5356032",-2.77652553139953,-3.20021600333748,14
"SRR5354373",1.06786021174164,3.4846066752285,1
"SRR5355081",-1.08101752816467,-2.82068283168373,4
"SRR5354217",0.39296462715836,3.0698437014431,1
"SRR5355797",0.368897404086308,-0.146929450908277,1
"SRR5356091",-0.984307084667964,-3.82785803882179,4
"SRR5355524",5.65382358015747,-2.38640124408302,7
"SRR5354545",-0.476568971264644,4.08783476742211,1
"SRR5355047",-0.668153200733943,-1.71442832855282,4
"SRR5355928",-1.36106685220031,-2.45655388442573,4
"SRR5354681",0.344916905772404,0.303792766651537,1
"SRR5355115",-1.8661871296051,5.98416846188011,10
"SRR5354357",0.493842269789891,2.82112162502709,1
"SRR5355647",0.12914821089478,-8.25465828982887,5
"SRR5355122",-2.10003999291687,5.82376807125511,10
"SRR5354472",0.324401881110387,2.72043650539818,1
"SRR5355646",-0.762351785290523,-9.77160651294288,5
"SRR5356121",-0.206564579594417,-5.4323204239994,13
"SRR5353630",3.69886824072571,2.62372153194847,2
"SRR5355704",-1.28056458054809,-10.0023241719395,5
"SRR5355604",-0.414390836346431,-9.61178118793068,5
"SRR5355343",-0.486268196690364,6.46030419262352,10
"SRR5355926",-1.25470140992431,-1.44923475442228,6
"SRR5354335",0.627137060773091,0.716581992229845,1
"SRR5355892",-1.63364032326965,-2.46886313764152,4
"SRR5354596",0.47232892693253,1.7375375548214,1
"SRR5353393",3.09021958292695,3.29042952450218,2
"SRR5356060",-0.39199927865295,-4.98929555026588,13
"SRR5354432",0.81642067016335,3.25350659283104,1
"SRR5356066",-1.10226038514404,-2.80620665160713,4
"SRR5356094",-0.732654724705501,-4.89672548381386,13
"SRR5354516",-0.119497929203792,3.7034057894558,1
"SRR5353658",3.03978034437867,1.96765988262596,2
"SRR5355188",-1.35114100991516,6.61300175579491,10
"SRR5355950",-2.29993203698425,-0.895045765319441,6
"SRR5355775",1.36012589515419,-3.97375828830299,6
"SRR3986207",-13.4679663520935,-2.80318302718696,11
"SRR5355946",-1.55709532319335,-1.48638776467887,6
"SRR5353964",-0.792355571377559,8.81016438396874,12
"SRR5354699",0.496192778956609,0.940468482098009,1
"SRR5354524",-0.162187371838374,4.71812813671532,1
"SRR5354457",0.695432658803181,1.18662708195152,1
"SRR5354404",3.25247832716675,-0.0950064143329599,8
"SRR3986108",3.24749752463074,-0.393174715915296,8
"SRR5356052",-2.39887789307861,-3.49753410426674,14
"SRR5355210",-1.18119720040588,8.58720772655907,12
"SRR5355200",-0.596026812184139,8.94234936626854,12
"SRR5356113",-0.631228838551326,-4.92872030345497,13
"SRR5355931",-1.81896809159545,-0.961042948642347,6
"SRR5354225",1.13338099376531,2.81214850338402,1
"SRR5354395",1.45647635639878,2.01409619244042,1
"SRR5354355",0.134587194335179,3.10892002972069,1
"SRR5354591",1.94140800417634,1.38794153126183,1
"SRR5355558",5.59406730116578,-2.70068246928749,7
"SRR5355571",5.48209639967652,-3.72812277881202,7
"SRR5354059",0.947514380824284,-1.49147023364675,9
"SRR5355820",1.68891813935013,-5.11922199336586,6
"SRR5354671",-1.30583551942138,2.18613427074852,1
"SRR5356154",-1.25302604256897,-6.24578244296608,13
"SRR5355973",-3.59115532456665,-2.60620004741249,14
"SRR5355098",-1.03291300355224,-2.53899461833534,4
"SRR5354277",-0.0418491703155472,3.27561133297386,1
"SRR5354375",0.684813972127156,2.90296118648949,1
"SRR5354629",-0.59239879666595,2.27500932606163,1
"SRR5353998",-2.53770450173645,1.96075265797081,3
"SRR5354815",-1.33383754311828,3.10150139721337,1
"SRR5356018",-0.79576519547729,-1.45466425327358,6
"SRR5353539",3.95448872030945,2.17670648487511,2
"SRR5355754",-0.813673530209346,-9.54009730426369,5
"SRR5354261",-0.667546902287288,3.2171129504055,1
"SRR5355225",-1.02259877740173,7.09944909008446,12
"SRR5354366",1.07353595041903,2.45442264469567,1
"SRR5355962",-2.53747538148193,-0.851257034221266,6
"SRR5355266",-0.889909897434993,8.44198315533104,12
"SRR5354657",3.02770778120728,2.24019663723412,2
"SRR5356040",-2.32491329728393,-3.88761264888344,14
"SRR5355135",-1.15756157456665,5.80376856716576,10
"SRR5355610",0.0193045991775558,-9.13301951495705,5
"SRR5355033",-0.887314472782893,-2.62222344485817,4
"SRR5355205",-0.992160831082149,8.52957528027001,12
"SRR5355091",-1.14599946557312,-2.52907783595619,4
"SRR5356058",-2.03518775521545,-3.539276905933,14
"SRR5354599",2.54365703047486,2.23042147549095,2
"SRR5355055",-1.45671442567138,-3.55277068225441,4
"SRR5355218",-0.787261996853633,6.9474620142788,10
"SRR5354526",0.280629720103459,0.840800932964709,1
"SRR5353757",-3.65083244859008,2.47679942043724,3
"SRR3986206",-13.4021084648254,-2.60417027083931,11
"SRR5354886",-1.51818159638671,-3.58619219867286,4
"SRR5354247",-0.837811027157588,5.61602776440087,10
"SRR5355635",0.142345394503789,-7.9829111775547,5
"SRR5355285",-1.17571548043518,7.97024720104637,12
