"","CS1","CS2","CS3","CS4","CS5","CS6","CS7","CS8","CS9","CS10","CS11","CS12","CS13","CS14","CS15","CS16","CS17","CS18","CS19","CS20","CS21","CS22","CS23","CS24","CS25","CS26","CS27","CS28","CS29","CS30"
"SRR5355719",-6.44587e-07,7.0692e-07,4.02506e-07,1.70098e-08,-2.38692e-06,-1.38299e-06,-2.46607e-07,-1.23276e-06,8.24979e-07,3.42968e-08,-1.62911e-07,-2.83262e-07,2.59327e-06,-2.24439e-06,-8.06834e-07,-4.93478e-07,-3.4722e-08,1.54658e-06,-3.79167e-09,-5.03489e-07,-1.70696e-06,3.17612e-07,-7.73851e-07,5.11097e-06,1.77877e-06,3.83174e-06,2.70851e-06,3.27676e-06,1.42385e-06,2.24857e-06
"SRR5355919",-2.86587e-05,5.52531e-05,-2.79729e-07,-1.20832e-05,-2.49977e-05,-2.93644e-05,-1.83289e-06,-2.13569e-05,1.7509e-05,2.13856e-05,-1.70113e-05,-1.55914e-05,5.62059e-05,-4.70085e-05,-2.16825e-05,-3.32315e-05,9.09121e-06,2.84915e-05,-5.7324e-06,5.12364e-06,-7.25442e-06,2.26795e-06,1.86591e-05,9.09603e-05,7.00603e-05,5.62539e-05,5.19645e-05,6.47091e-05,3.76829e-05,3.50531e-05
"SRR5355158",-3.595e-06,5.69606e-06,-6.88843e-07,-2.12291e-06,-3.85881e-06,-3.51095e-07,3.02459e-06,-1.01875e-06,-1.41406e-06,2.66841e-06,-4.62871e-06,-4.57411e-06,6.4684e-06,-7.14356e-06,-3.96852e-06,-3.55811e-08,3.65007e-06,5.74329e-06,-6.89905e-06,2.49667e-06,2.65942e-06,-1.26896e-06,-7.62077e-07,1.7107e-05,7.67332e-06,7.27381e-06,4.79304e-06,8.4705e-06,7.02048e-06,9.79863e-06
"SRR5354204",-4.3438e-06,1.32016e-05,-5.4145e-06,-4.30846e-06,-6.96154e-06,-4.42144e-06,4.4527e-06,-9.2682e-07,7.1866e-06,2.89033e-06,-8.69431e-06,-4.14847e-06,1.52541e-05,-8.19379e-06,-5.05225e-06,-1.07508e-05,5.64551e-06,1.06863e-05,-5.62305e-06,1.85637e-07,-1.44487e-06,2.26759e-06,1.01196e-06,2.91816e-05,1.46378e-05,1.58989e-05,1.31712e-05,1.41555e-05,1.34085e-05,1.18483e-05
"SRR5353407",-2.74109e-06,4.06026e-06,-3.75332e-07,-4.92335e-07,-1.56094e-06,-1.64984e-06,1.73005e-06,-6.48909e-07,2.32573e-06,-9.35586e-07,-1.2411e-06,-1.24656e-06,4.09631e-06,-2.42058e-06,-1.20365e-06,-1.20474e-06,9.35548e-07,2.05788e-06,-1.04569e-06,-5.89952e-07,8.63775e-07,3.6061e-07,-1.46461e-06,6.16195e-06,4.0252e-06,3.60659e-06,2.95214e-06,4.38527e-06,3.33159e-06,2.92675e-06
"SRR5355981",-1.90894e-05,4.4612e-05,-3.7924e-05,-2.7446e-05,1.55155e-05,-2.19155e-05,5.2947e-06,2.20206e-05,5.68025e-05,0.000113142,-9.49593e-06,8.67395e-06,0.000196461,-0.000116957,-4.74948e-07,-0.000104816,-0.000126729,0.000140655,-7.19084e-06,1.65459e-05,2.90824e-05,8.92147e-05,-2.89444e-05,0.000312634,0.000170349,0.000186788,0.000255053,0.000147849,0.000138058,0.000134089
"SRR5353460",-3.16491e-05,4.52582e-05,-1.29869e-06,-1.89919e-05,-3.62353e-05,-2.72441e-05,1.43357e-05,-1.80361e-05,3.29466e-05,1.65309e-05,-2.48562e-05,-6.56362e-06,6.9319e-05,-1.61021e-05,-2.06848e-05,-1.77963e-05,1.1549e-06,3.04827e-05,-2.91756e-05,8.11432e-06,5.03479e-06,1.65289e-05,-2.84555e-06,8.28171e-05,4.36201e-05,4.03447e-05,3.58493e-05,6.21111e-05,5.40976e-05,4.75295e-05
"SRR3986152",-3.01025e-05,2.27898e-05,1.36124e-05,-1.05646e-05,-2.00264e-05,1.3576e-06,-1.67666e-05,-2.2653e-06,9.78869e-06,1.82551e-05,-3.07722e-05,-4.03069e-05,7.28819e-05,-4.73006e-05,-1.66323e-06,-9.55679e-07,2.69157e-05,2.6491e-05,4.95965e-05,-8.50322e-06,2.15955e-05,1.28111e-05,2.92059e-06,7.66294e-05,3.85558e-05,6.28426e-05,7.41401e-05,3.58227e-05,2.74703e-05,4.97199e-05
"SRR5354466",-9.22034e-06,1.68166e-05,7.4162e-07,-5.79453e-06,-9.58163e-06,-6.25406e-06,5.97407e-06,1.22932e-06,7.01292e-06,1.90335e-06,-8.07065e-06,-6.46111e-06,2.02778e-05,-1.60482e-05,-7.97406e-06,-8.2922e-06,7.97526e-06,9.21887e-06,-8.62738e-06,-1.17993e-06,1.1021e-06,9.86212e-07,-5.63788e-06,3.4199e-05,1.84181e-05,1.98734e-05,1.67257e-05,2.14626e-05,1.33839e-05,1.44393e-05
"SRR5355949",-8.24247e-05,0.000198,-1.70188e-05,-9.18351e-05,-3.97387e-05,-0.000155528,3.15436e-05,-9.45981e-05,9.11704e-05,0.000122967,-0.000141644,-2.26655e-06,0.000276837,-0.000165925,-0.000165128,-0.000185891,-4.52508e-05,0.00020541,4.81012e-06,6.73392e-05,-2.56414e-05,6.54938e-05,0.0001072,0.000411507,0.000296379,0.00024529,0.000235802,0.000274097,0.000188869,0.000188905
