"","CS1","CS2","CS3","CS4","CS5","CS6","CS7","CS8","CS9","CS10","CS11","CS12","CS13","CS14","CS15","CS16","CS17","CS18","CS19","CS20","CS21","CS22","CS23","CS24","CS25","CS26","CS27","CS28","CS29","CS30"
"RREB1",-0.00175103974889042,0.00453255237589069,-0.0159798570033054,-0.00661337731133264,-0.0217736008177827,-0.0104747199844328,-0.00297420371552475,0.00218338400942223,-0.00639483541862343,0.0037639459164961,0.00596715657503201,0.0188139551534378,-0.00701432881348926,0.0138399135631703,0.00723322122125246,0.00473466626758849,0.0124528552139983,0.0174898719175433,0.00935866318962769,-0.000222687167275599,-0.0075898324304037,-0.00126790597352182,-0.00182754438824394,0.00326617376935918,-0.00197482699759517,-0.00650926535415303,-0.0145328247462677,-0.00250106649747743,0.0104352558389724,-0.00655581856812123
"RXRA::VDR",0.0119587815093646,-0.0045373981488569,-0.00556298935982377,-0.00676796649010986,-0.0151947524558748,0.00253783452194977,0.00240455090410374,-0.0131471515297877,0.00592234031891599,0.0323315319669783,-0.0015005127630364,-0.00503674210848843,-0.00560177416677186,-0.00799384216131392,-0.000910605041744224,0.0251515700643635,0.01609986858123,-0.00801446493058722,0.0179736736206565,-0.0208870398261724,0.0184304656619632,-0.0161085748334734,-0.0176299574996031,0.026502468224889,0.00250253928696684,0.00613933088396549,0.00662347947242272,0.0136776039451508,-0.0135565416073574,0.013583280850288
"SOX9",0.00358958444117986,-0.0062084046098857,-0.0127476291273495,0.0102122327095813,0.00152037150343263,0.00421524029934831,-0.00533480953706878,-0.00234651122595056,0.0134218695853465,0.0110852712893614,-0.004109359544147,-0.00342619398435786,0.0183131676071195,-0.00444120475655784,0.00873794476929215,-0.00387710820054593,-0.0125275845681121,-0.00168319698193646,-0.0239917300347943,-0.00080483600941434,0.00462206711483617,0.00875009286379293,-0.00158169746035138,0.0008548708852511,-0.0125375264894556,-0.0241815104237969,0.000237658589156798,-0.000808450739279766,-0.0117433324370981,0.00251709508005756
"SRY",0.0209975782937414,-0.0048736274233111,-0.000229017744290699,0.0169652594476182,-0.00939450755775948,0.00433610606145652,0.0224792074166328,-0.00147919243292345,0.00374949734685198,0.0192982239218548,0.00600612257299166,-0.00959519153332803,0.0137897277461232,0.00339758444399105,0.000991985961190984,0.0103334817235649,0.0010375236378994,0.00824664697772373,-0.00424421753524133,-0.0080555725833115,-0.00267396530525024,-0.0194952875107037,0.0108643421395407,0.0144456258542162,-0.00705058222130772,-0.00621621813981781,-0.0023978061660714,-0.0044171404985805,-0.000512185725884664,0.00126601105210421
"TAL1::TCF3",0.0160886906668308,-0.000623295004456156,-0.015870273335643,0.00396246898088805,-0.00718892634828295,-0.00512478605986435,-0.00229548030366196,-0.00407135744154757,-0.00510586221657077,-0.00505969859317529,-0.00981249685643873,-0.0049364867754791,0.00719292086011795,-0.00251026804930868,-0.00160220084364601,-0.000676978524459972,-0.00261010401236809,-0.00797138556580473,0.00647751461303746,-0.0112296854356264,-0.0107572937146998,0.00319115522059332,-0.00817742581352347,0.0137520461405574,-0.0100550883185313,0.00711639232801521,-0.00258782875038983,0.00236956570789248,0.0117301608287096,0.00306052860148374
"REL",0.00873245168900655,-0.00514575551770907,-0.00411733303020697,-0.00832243658038696,0.0069072009595332,-0.0103372487237433,0.00923476951721229,0.00512524226264476,-0.00244344448875626,0.00431516787344749,-0.00526725310835733,-0.00757487594628673,0.00561298199655347,0.00305247974071901,-0.0158825190807262,0.00364704659493587,0.00340318192413394,0.00971347371940818,-0.00615752144994505,0.00688910507004599,-0.00083564523261968,0.00930865880466318,-0.0111719875164404,-4.71464229820249e-05,0.0187670822691541,0.00461738418125588,-0.0098516740533441,0.0017661081225981,0.00046133173259597,-0.00347850650435404
"RELA",0.00411961529582108,0.00584393942473739,0.00170142814929106,0.00623832739362083,-0.0150553320295502,0.000263277496253161,-0.0091181332158306,0.0108895881792717,-0.00146378500498992,0.00814681990755567,-0.00481917156443927,-0.0104726662293818,0.00614238332588689,-0.00217673897527978,-0.00314744808649801,-0.00351919237782383,-0.0140784265065679,0.00334885672790481,0.0037867364925663,-0.00751052823805961,0.00843843606442173,-0.00262399346493724,0.00148770462664244,0.00286678080013686,0.00854802291901662,-0.00404119785020894,-0.00114365005422696,0.00434398919888544,-0.00250132535435322,0.000257191647065633
"NR1H2::RXRA",0.00849060926502272,-0.00537974113224901,-0.0122065467198553,0.00634558668037124,-0.00843971746572656,0.005830440581558,0.0155062285066356,0.00158236041794431,-0.00261166345511869,-0.0176954164097723,0.00912248167305586,-0.00620976843600584,0.0115410615138889,-0.0138926447077581,0.00855755594799954,-0.00041205426595292,0.00945854324455727,-0.0119527233411842,0.0139104862783168,0.00547067394426043,0.0134056191630379,-0.00638801907069868,-0.000454782329241584,-0.00331275464262749,-0.00191544091029549,0.0032121657525352,0.00418381224604279,0.0136776857215305,-0.0158443575752713,0.00149758512974722
"NFIC::TLX1",0.00183478317848653,0.0191599490806271,0.0126165777790236,0.00598663673859305,0.00388818327594844,-0.0013023408457137,-0.00186742419037561,0.00165590695606124,-0.0179173366755039,-0.0064205754822681,-0.0176917950694185,-0.0151979733816405,0.0060684358854346,0.00225147389140029,-0.00893440736517618,-0.0153721431904478,-0.00488045416286851,0.00290579993964229,-0.0124423447745563,0.0117226701807889,0.00849230610074201,-0.0106350396132575,0.0153364365087182,0.00661425165956302,0.0196795404701318,0.0061232440601083,0.00897252130263443,0.000997894620313974,0.00645762129212563,-0.0120568368865948
"CTCF",-0.00344752415685851,-0.000561976008871375,-0.0179483447391677,-0.0120501947222296,0.0174952338970547,0.010500246251741,-0.00436800466068265,-0.00918256175309541,0.0094076379161597,-0.0145340571939307,-0.00829870096026523,-0.0110565809711321,0.00141285982449605,0.00285056911634716,-3.55976855474251e-05,0.00377067720615366,-0.00105813004560325,0.00803095523480875,-0.0090015000898754,-0.000338366228888291,0.0169077788434537,0.000308994977318941,-0.00143267564043517,0.0146995630201729,-0.00176308136381188,-0.0116104172072333,0.0126569612763096,0.00631856493595659,0.00597113603989283,0.00938481909939793
