,SRR3986201,SRR5355290,SRR5355456,SRR5355765,SRR5355834,SRR5356155
SRR5354845,0.382796788295011,0.014966548414436738,0.033438853140238006,0.1276964347068687,0.22008779696564584,0.2210135784778048
SRR5355897,0.3508014885211246,0.016235176079701555,0.03471363473218464,0.12521564947042796,0.256389395606393,0.21664465559017315
SRR5354151,0.23132134028911483,0.14472069945672866,0.15411569935456923,0.09397126808394307,0.230162315704403,0.1457086771112538
SRR5355582,0.0,0.0,0.0,0.9972183905117535,0.0,0.0
SRR5356120,0.14825189824995905,0.03681471684368199,0.1467376929380847,0.35462778785575977,0.10686124637193067,0.20670665774058755
SRR5354506,0.1595919079450972,0.3073131815104284,0.20576216466506025,0.0690430653374776,0.15626375667884712,0.10202592386311302
SRR5354376,0.13381002413847137,0.4262991619620877,0.1643809712841068,0.057315597741326114,0.13286638006657242,0.08532786480746875
SRR5354182,0.13562219615168164,0.4215766648517056,0.16356588556757395,0.057943147117375825,0.13486201244419713,0.08643009386749875
SRR5355187,0.012044597746130065,0.9468651948211166,0.016266955341282637,0.0,0.011890723183351722,0.0
SRR5354501,0.2614302632362262,0.1004116073586262,0.0948844923288831,0.09868126538930228,0.282740366314763,0.16185200537220867
SRR5355670,0.0,0.0,0.0,0.9975848834932866,0.0,0.0
SRR5356123,0.05431680293447756,0.0,0.012631395328292274,0.08537092232515262,0.03371489993166239,0.8100598314142785
SRR5355613,0.0,0.0,0.0,0.983476596325363,0.0,0.0
SRR5355901,0.3256778746433885,0.018742465902820804,0.03630801284132678,0.11553048752106852,0.3046122386894751,0.19912892040192431
SRR5355203,0.0,0.9890778243224798,0.0,0.0,0.0,0.0
SRR5356003,0.3236977984152633,0.03098248996740001,0.058531070343733824,0.11751636442673312,0.2698030185658666,0.19946925828100878
SRR5354707,0.10447935665381383,0.5453324270697241,0.13495277954010537,0.045058233396900675,0.10344408411405256,0.06673311922544523
SRR5354356,0.12324487555757403,0.4714769520434018,0.1514649312713866,0.05278421911588937,0.12244102651822965,0.07858799549355529
SRR5354840,0.3209216977204057,0.019250274437153728,0.03665859848630819,0.11396441921971451,0.3129114965222914,0.19629351361413125
SRR5355652,0.0,0.0,0.0,0.9985804421270977,0.0,0.0
