,GSE96769#SRR5355219,GSE96769#SRR5355440,GSE96769#SRR5355614,GSE96769#SRR5355849,GSE96769#SRR5356042
GSE96769#SRR5355012,0.08953949580296693,0.05439019253554448,0.07499108193680308,0.7005170953623503,0.08056213436233246
GSE96769#SRR5354039,0.9510987983747419,0.0,0.0,0.04055304919784435,0.0
GSE96769#SRR5353684,0.28608243132084143,0.026575416374230238,0.034123555151218406,0.589578329491332,0.06364026766237327
GSE96769#SRR5353463,0.28605344323420384,0.026565393206206316,0.03407829824575718,0.5896573772657706,0.06364548804805578
GSE96769#SRR5354806,0.2840280321488695,0.026717881704424438,0.03415690063652346,0.5912745367163181,0.06382264879385957
GSE96769#SRR5353543,0.2860126964234769,0.026567418554791816,0.03408119515700608,0.5896895893702613,0.06364910049445784
GSE96769#SRR5354183,0.4808378878366502,0.01841951058752235,0.023889433620113396,0.430575356712255,0.04627781124345527
GSE96769#SRR5356136,0.0887540946768616,0.05341218313930739,0.07173060083819155,0.7049967807835212,0.08110634056211588
GSE96769#SRR5353989,0.28642237374742235,0.0265740134818935,0.03412989572982009,0.5892657201677695,0.06360799687309046
GSE96769#SRR5355872,0.041495091734405146,0.013886751932579015,0.022410256816444193,0.8464663229149527,0.07574157660161747
GSE96769#SRR5354494,0.38819524794335686,0.021637157532860156,0.02814110933788243,0.5074851873739805,0.05454129781191594
GSE96769#SRR5353572,0.2855699230141452,0.026594457313894267,0.03412956067253475,0.5900188431884973,0.06368721581092315
GSE96769#SRR5354902,0.04539241524189034,0.016274604285335934,0.026544929333346273,0.8181884323174881,0.09359961882193724
GSE96769#SRR5354123,0.0921405041097871,0.0752004816237491,0.08411216998798807,0.6714946638855089,0.07705218039296399
GSE96769#SRR5355542,0.04818832254144591,0.5509388961081456,0.04163493815693289,0.3223365904305349,0.036901252762937736
GSE96769#SRR5354597,0.4727607947251105,0.018703394004658005,0.024261158092859343,0.4372765898596712,0.046998063317697396
GSE96769#SRR5355779,0.09736100394758421,0.019860625857908515,0.0298873276806976,0.7740251900991401,0.07886585241466748
GSE96769#SRR5353628,0.2854598205960708,0.026595055751787607,0.0341210379733699,0.5901260082553406,0.06369807742342636
GSE96769#SRR5354447,0.29284720266999503,0.025845230743476708,0.03341008175603101,0.5848437594574223,0.06305372537307026
GSE96769#SRR5354692,0.4676809261606456,0.018879691170418916,0.024494500974275166,0.44149367145858087,0.047451210236075334
GSE96769#SRR5355893,0.07703696880297142,0.01835149137737154,0.028270120208038138,0.7965608418494954,0.07978057776212176
GSE96769#SRR5353842,0.2842960303915149,0.026720970682191706,0.03427942149078665,0.5909040495182085,0.06379952791729337
GSE96769#SRR5354888,0.04317250157973201,0.015644138203257243,0.02556828092660789,0.7875772165896309,0.12803786270077083
GSE96769#SRR5355714,0.0,0.0,0.9980804306196674,0.0,0.0
GSE96769#SRR5353439,0.2858427950316746,0.026575852261001377,0.03409323295884637,0.5898239537188035,0.06366416602966891
GSE96769#SRR5354686,0.34352978937599343,0.02335196892751375,0.03034005913225871,0.5442523514935189,0.05852583107071113
GSE96769#SRR5355698,0.0,0.0,0.9916793276709666,0.0,0.0
GSE96769#SRR5353756,0.28616373206936774,0.02656286101460482,0.034107381620107104,0.5895325973130773,0.06363342798283839
GSE96769#SRR5354460,0.38173927000172214,0.0219604698734455,0.028451701240097566,0.5127392381843643,0.055109320700366574
GSE96769#SRR5353692,0.28739186214183154,0.026485880552963297,0.03404147208347422,0.5885578467016365,0.06352293852008972
GSE96769#SRR5355715,0.0,0.0,0.9979055570594721,0.0,0.0
GSE96769#SRR5353706,0.285805617677847,0.026582029571218732,0.03412101359193961,0.5898254741465112,0.06366586501247834
GSE96769#SRR5355677,0.0,0.0,0.9982847494822361,0.0,0.0
GSE96769#SRR5354258,0.34809877962415225,0.02359517719134399,0.02968598891167627,0.5405934973885116,0.05802655688431776
GSE96769#SRR5354647,0.2836478257523521,0.02674401781767614,0.03418303765530196,0.5915686710388258,0.06385644773583937
