,IterativeLSI#UMAP_Dimension_1,IterativeLSI#UMAP_Dimension_2
GSE96769#SRR5355822,-4.71004471224189,-1.79012834419194
GSE96769#SRR5354282,4.26673522550225,2.04021001468715
GSE96769#SRR5355746,-11.6832235757673,-3.01493036140385
GSE96769#SRR5355207,5.75136008817315,-1.05756747116032
GSE96769#SRR5354433,2.82329907971978,1.54873252521572
GSE96769#SRR5354771,1.98695793706536,-1.25702201713505
GSE96769#SRR5356013,-3.24883541506171,-0.0520703433889426
GSE96769#SRR5356112,-2.2975233499372,1.4109598458868
GSE96769#SRR5355119,6.4871765669024,2.17536438118038
GSE96769#SRR5353388,1.38069406110406,3.98403156410274
GSE96769#SRR5355784,-4.22135862749457,-0.884326332702068
GSE96769#SRR5355088,-2.43840131204963,-0.511324399604229
GSE96769#SRR5355844,-4.84028086107612,-2.46690904487553
GSE96769#SRR5354270,-2.03826317232489,-1.39995991577092
GSE96769#SRR5353974,2.0176314409411,-1.28037893165532
GSE96769#SRR5355077,-2.12146529596686,-0.719350689544109
GSE96769#SRR5355152,6.75908914167047,2.95953310142574
GSE96769#SRR5355748,-11.7991054956281,-3.27753769744816
GSE96769#SRR5355578,-1.92852625292182,-7.37284194816533
GSE96769#SRR5354679,4.08729258138299,1.16398394714412
GSE96769#SRR5355589,-11.7450388376081,-2.46375667442265
GSE96769#SRR5355035,-1.91607794206977,-1.84621905673924
GSE96769#SRR5355197,6.02794948178888,-0.610633188380627
GSE96769#SRR5355159,6.27174726087213,1.88120425354061
GSE96769#SRR5355776,-3.36808952730536,-1.23780333389225
GSE96769#SRR5354348,1.1594941909945,2.02488041530666
GSE96769#SRR5356048,-5.42139658373237,0.945159679756733
GSE96769#SRR5354294,4.54865756589532,1.48182953010616
GSE96769#SRR5353528,1.32145217019677,4.97114122520504
GSE96769#SRR5353811,2.1179606016314,-4.11605274070683
GSE96769#SRR5353640,0.832280337396861,4.3853033841711
GSE96769#SRR5354016,1.69628766137719,-1.373719566955
GSE96769#SRR5354722,2.25602188665032,-1.09846495975438
GSE96769#SRR5355226,6.01286616880059,-1.07015621055546
GSE96769#SRR5354135,-0.385722548183202,-2.43745838989201
GSE96769#SRR5355040,-3.06423649233222,-0.427889996661571
GSE96769#SRR5354339,1.06687328178048,3.20849073539791
GSE96769#SRR5356145,-2.86717614572883,1.69650078426418
GSE96769#SRR5354361,1.47008159715295,2.33097947250423
GSE96769#SRR5354265,0.555397107783557,1.78027547012386
GSE96769#SRR5354454,2.96304407674432,1.2563149989706
GSE96769#SRR5356023,-3.77541860979438,0.028306512640091
GSE96769#SRR5356116,-2.88959154528022,1.73009324680385
GSE96769#SRR5354105,-1.22493407171607,-3.23894202102604
GSE96769#SRR5354346,0.925352900806666,2.51244009147701
GSE96769#SRR5355087,-2.45680293482184,-0.763024383677868
GSE96769#SRR5354133,-0.931203097518682,-2.73156225074711
GSE96769#SRR5355764,-12.6650656167829,-2.17439424385014
GSE96769#SRR5354586,2.98784342366815,0.472926622734638
GSE96769#SRR5355880,-2.60106620233893,-1.48558449138585
GSE96769#SRR5353563,1.14650961715341,5.29985798011837
GSE96769#SRR5355639,-11.6421602670515,-2.20126211036625
GSE96769#SRR5354705,0.703958183113337,5.09773624549923
GSE96769#SRR5356119,-2.8325575296247,1.67409372936306
GSE96769#SRR5354634,1.96949210721612,1.77346957336483
GSE96769#SRR5355769,-12.5780943338239,-2.36977493156376
GSE96769#SRR5354893,-3.13293060701728,-0.264939749135403
GSE96769#SRR5355284,6.62971034604669,-1.13354300846043
GSE96769#SRR5355156,6.77922645169854,2.95157683502254
GSE96769#SRR5355201,5.78227820951104,-0.752437466277508
GSE96769#SRR5356078,-0.213265330013036,-1.04340838779393
GSE96769#SRR5354053,-0.242548376735448,-2.29585396636906
GSE96769#SRR5354278,1.20468351203561,1.23165023933467
GSE96769#SRR5355933,-2.83988937776923,-2.14303624023381
GSE96769#SRR5355011,-2.15143737238288,-0.882207387580303
GSE96769#SRR5356107,-2.68530282419562,1.76478970657405
GSE96769#SRR5354337,4.25942888814569,1.83130467544613
GSE96769#SRR5355545,-2.50849780481696,-6.50901090492192
GSE96769#SRR5354371,3.76623979169488,2.76469052444515
GSE96769#SRR5353602,0.309086620393992,4.4182509244543
GSE96769#SRR5355750,-11.7687776986921,-2.71019732345524
GSE96769#SRR5354754,2.61011114675164,-0.974694841994671
GSE96769#SRR5355009,-2.20284137171149,-1.10849356044712
GSE96769#SRR5353744,2.1990838344729,-2.83446108688298
GSE96769#SRR5355575,-2.134622186836,-6.82405197013798
GSE96769#SRR5355690,-12.1376093332136,-3.06107365478459
