,Sample,TSSEnrichment,ReadsInTSS,ReadsInPromoter,ReadsInBlacklist,PromoterRatio,PassQC,NucleosomeRatio,nMultiFrags,nMonoFrags,nFrags,nDiFrags,DoubletScore,DoubletEnrichment,BlacklistRatio,Clusters.res.0.4,Clusters.res.0.8,Clusters.res.1,Clusters.res.1.5,cell_type,donor
GSE96769#SRR5354330,GSE96769,13.427,9154,35990,932,0.237705242856954,1,0.988834594367381,6327,38064,75703,31312,119.09787921549,8.4,0.00615563451910757,5,7,7,8,CMP,BM1137
GSE96769#SRR5354398,GSE96769,14.482,11270,43353,1339,0.286733776025821,1,0.525291043722131,4407,49563,75598,21628,37.4329236451007,4.6,0.00885605439297336,1,2,2,2,CMP,BM1077
GSE96769#SRR5354307,GSE96769,9.184,2806,11857,1208,0.0784442150947391,1,1.27515202600999,8786,33218,75576,33572,68.9833776317205,6.2,0.00799195511802689,5,3,3,3,CMP,BM1137
GSE96769#SRR5355280,GSE96769,15.531,10455,38619,1602,0.2557719054242,1,0.677480279968892,7221,45005,75495,23269,0,0.8,0.0106099741704749,1,2,2,2,MEP,BM0828
GSE96769#SRR5355231,GSE96769,19.234,14356,51110,2032,0.339290218935461,1,0.610102823916715,5488,46779,75319,23052,0,0.8,0.0134892922104648,1,2,2,2,MEP,BM0828
GSE96769#SRR5354503,GSE96769,15.219,11890,44046,2622,0.293291960207221,1,0.286519549052531,2397,58366,75089,14326,134.156295512094,9,0.0174592816524391,4,6,6,4,CMP,BM1214
GSE96769#SRR5356132,GSE96769,20.201,13833,48434,3188,0.322678214523651,1,0.799026775655009,7050,41717,75050,26283,37.4329236451007,4.6,0.0212391738840773,2,4,4,10,GMP-C,BM1137
GSE96769#SRR5355290,GSE96769,19.688,11076,41518,1251,0.276993488471392,1,0.698717076930051,6832,44118,74944,23994,0,1.2,0.00834623185311699,1,2,2,2,MEP,BM0828
GSE96769#SRR5353498,GSE96769,16.74,11370,40275,1590,0.269113578960029,1,0.362856518413288,3836,54906,74829,16087,175.821055984633,10.6,0.010624223228962,4,6,6,4,HSC,BM0106
GSE96769#SRR5355942,GSE96769,13.906,9993,38098,1542,0.255626081938834,1,1.1063060007349,11169,35379,74519,27971,81.2040385956534,6.8,0.0103463546209691,2,4,4,10,GMP-A,BM1137
GSE96769#SRR5355500,GSE96769,18.361,12184,42632,1534,0.286178425186279,1,0.697779905178702,9849,43872,74485,20764,0,1.6,0.0102973753104652,8,10,10,13,CLP,BM0828
GSE96769#SRR5353509,GSE96769,15.617,9235,34414,1780,0.232326096349103,1,0.547707610649058,4522,47854,74064,21688,119.09787921549,8.4,0.0120166342622597,4,6,6,4,HSC,BM0106
GSE96769#SRR5354140,GSE96769,16.157,12190,43743,2231,0.295393155236217,1,0.724915550378567,9653,42925,74042,21464,238.881037794473,12.8,0.0150657734799168,3,5,5,9,LMPP,BM0828
GSE96769#SRR5354285,GSE96769,15.998,10212,39584,1374,0.267347462549473,1,0.997706298235199,12184,37058,74031,24789,114.492493919232,8.2,0.009279896259675,5,7,7,7,CMP,BM1137
GSE96769#SRR5356010,GSE96769,13.384,8996,36108,746,0.243893872257646,1,0.752462121212121,6075,42240,74024,25709,56.5998267970962,5.6,0.00503890630065925,2,4,4,10,GMP-B,BM1137
GSE96769#SRR5354571,GSE96769,18.187,10498,37580,1795,0.254107782811549,1,0.228526333277953,1664,60190,73945,12091,192.43359650412,11.2,0.0121373994184867,5,7,7,7,CMP,BM1137
GSE96769#SRR5355111,GSE96769,13.238,8691,34922,1660,0.236714386421561,1,0.286521557136877,2325,57336,73764,14103,165.637497344279,10.2,0.0112521012960252,5,1,1,1,MEP,BM1077
GSE96769#SRR5355223,GSE96769,15.507,11018,41418,1702,0.28089140872962,1,0.881869464226459,7087,39177,73726,27462,0,0.6,0.0115427393321216,1,2,2,2,MEP,BM0828
GSE96769#SRR5355278,GSE96769,13.809,10077,39162,1630,0.265768150168981,1,0.6921681212678,6371,43540,73677,23766,0.670189197739972,1.8,0.0110617967615402,1,2,2,2,MEP,BM0828
GSE96769#SRR5355499,GSE96769,8.991,3905,16096,1885,0.109480213845547,1,1.33005800500808,14138,31549,73511,27824,94.8349274771782,7.4,0.0128212104310919,3,5,5,9,CLP,BM0828
GSE96769#SRR5355695,GSE96769,14.484,10299,37193,1721,0.253247902821658,1,0.230614536374453,1732,59671,73432,12029,48.5122667096137,5.2,0.0117183244362131,7,9,9,12,pDC,BM1214
GSE96769#SRR5356064,GSE96769,19.078,13064,48213,1524,0.328775810807125,1,0.919675350176725,4871,38195,73322,30256,48.5122667096137,5.2,0.0103925152068956,2,4,4,10,GMP-C,BM1137
GSE96769#SRR5355130,GSE96769,9.881,7335,27294,2422,0.186452256363313,1,0.316752419674019,2279,55586,73193,15328,0,1.6,0.0165452980476275,5,1,1,1,MEP,BM1077
GSE96769#SRR5355018,GSE96769,17.768,10660,38225,2951,0.261983742957795,1,0.523790625783274,5979,47876,72953,19098,27.2595528988383,4,0.020225350568174,2,4,4,10,GMP,BM1214
GSE96769#SRR5354484,GSE96769,16.607,11632,41572,2053,0.285001302565368,1,0.224797219003476,1780,59547,72933,11606,100.094830670205,7.6,0.0140745615839195,4,6,6,4,CMP,BM1214
GSE96769#SRR5355985,GSE96769,19.901,10030,37041,2243,0.254070923931683,1,0.76689451231336,5616,41256,72895,26023,0,1.6,0.0153851430139241,2,4,4,10,GMP-B,BM1137
GSE96769#SRR5355625,GSE96769,16.154,11959,41365,1088,0.284115885488214,1,1.11659349286192,9484,34393,72796,28919,3.78217612492001,2.2,0.00747293807352052,7,9,9,12,pDC,BM1137
GSE96769#SRR5353982,GSE96769,15.435,10110,38627,1025,0.266169154228856,1,0.789641139474658,11810,40545,72561,20206,72.9939504445828,6.4,0.00706302283595871,6,8,8,8,MPP,BM0828
