"","UMAP_1","UMAP_2"
"SRR5354328",-2.76119516978581,-1.05730044314601
"SRR5354613",-3.83352159152348,-1.03006660411098
"SRR5355080",1.34018398632686,-1.46754323909022
"SRR5355132",-3.12281726489384,-1.09729229876735
"SRR3986159",2.05206860413234,-4.72260367343165
"SRR5356114",2.11051858772914,-1.99039041468837
"SRR5355028",1.93406934847514,-1.7846194452975
"SRR3986089",1.80622137894313,-0.949139947387953
"SRR3986157",2.13023151268642,-4.6399820990298
"SRR5355622",5.3940918575732,-1.11303746173121
"SRR3986193",2.1914881597964,-4.5305169768069
"SRR5354522",-0.0201407540829927,0.527133946922045
"SRR5356128",2.26890887131374,-1.93130313822963
"SRR3986075",0.933797788316563,1.13728344967626
"SRR5356108",3.52635241856258,-1.87328135440089
"SRR5354541",-0.518036829331711,1.3355228953626
"SRR5355136",-4.00787471423467,-0.141887540313978
"SRR5354106",2.27317131867091,1.19663632443212
"SRR5356088",2.13813580383937,-1.78759824702479
"SRR5356141",1.73526210894267,-1.17607986399867
"SRR5354413",-1.82212589869817,-1.94917451808192
"SRR5353384",-0.466040240624741,2.16584747066758
"SRR5355194",-4.17413257251103,-1.34350931117274
"SRR5354713",-2.14684246669133,-0.604221457931776
"SRR5353395",-0.634615408280686,2.05039889147542
"SRR5356101",2.13247598519008,-2.49991023013331
"SRR5355987",1.06991225292365,-2.22890984484889
"SRR5355894",1.38758091439883,-0.622510070297499
"SRR5355628",6.05798841824214,-1.46299945780971
"SRR5355386",-4.40738938937505,-1.07271754214503
"SRR5353991",-4.11437820086797,-0.120634431335707
"SRR5353949",-0.622394667962387,2.61064279606603
"SRR5355913",0.423080636164352,-2.07836687037684
"SRR5354587",-2.77577923426945,-1.3975766844485
"SRR3986123",2.2256678472964,-4.45799338290431
"SRR5355974",0.594605965515777,-2.88327252337672
"SRR5355113",-4.39249824176152,-1.49947297045924
"SRR5355936",0.787815315624878,-1.39205848643519
"SRR5354268",-2.5145630706342,-1.37629067370631
"SRR5356144",2.74341346134822,-2.03786384532191
"SRR5354527",-2.96538709292729,-1.12623631427028
"SRR5355121",-4.34653638491948,-1.54426347682216
"SRR5354601",-1.95605395922978,-1.2101348585818
"SRR5355038",0.072035683294937,-1.29492771098353
"SRR5354683",-2.66216229091008,-0.980223292801161
"SRR5354661",0.115243865153,-0.693563575241346
"SRR3986122",2.26379002442043,-4.4690836615298
"SRR3986158",2.07957519402187,-4.26594674060084
"SRR5355719",5.43589998593013,-1.91785561511256
"SRR5355919",0.633274896046326,-1.54914915034511
"SRR5355158",-4.13905833850224,-1.5201307482455
"SRR5354204",-1.47793506274541,-0.19175803134181
"SRR5353407",-0.763693558076218,2.41854799320958
"SRR5355981",1.65013779511134,-2.04191696116664
"SRR5353460",-0.371808396676376,1.7275596313741
"SRR3986152",2.32127143253963,-4.36673533389308
"SRR5354466",-1.904058681825,-0.33027612635829
"SRR5355949",1.43605901112239,-0.939365739319105
"SRR5355954",1.17619986643474,-1.99842488238551
"SRR5355069",1.89591331591289,-2.51663243243434
"SRR5354680",-1.60185145030339,0.192416315582018
"SRR5355234",-4.13968585620244,-0.283616418335218
"SRR5354548",-2.18867705951054,0.698717599418383
"SRR5353887",-0.926955210069016,1.54505014946721
"SRR5356153",3.1505718361346,-2.21538578936793
"SRR5355492",2.81572963108699,1.31574947169087
"SRR5355253",-4.46336673388799,0.115123873260241
"SRR5355064",1.35175584067981,-1.4725130743716
"SRR5355281",-4.9314696658643,-0.201382035705824
"SRR5356044",3.48778058399837,-0.728902215454359
"SRR5354579",0.751226095458671,-1.66383683154323
"SRR5355889",0.663899255892441,-1.24969613024928
"SRR5355739",5.19951082577388,-1.68392908045985
"SRR5355886",0.967929825162694,-1.28499972293117
"SRR5353553",-0.558125602105454,1.49358377387784
"SRR3986208",2.22659219612758,-4.30758082339503
"SRR5355042",1.19913627018611,-1.61814367243983
"SRR5354584",-2.31046961436589,-1.47794043490626
"SRR5355106",-3.6084568370374,-0.712615603897352
"SRR5355645",5.48780561794917,-1.23560177752711
"SRR5355762",4.98923946728389,-1.62426149317958
"SRR5355592",5.95319725384395,-1.02238189646937
"SRR5355190",-4.26221059451421,-1.44183599421718
"SRR5355243",-4.40208696017583,-0.102262610885878
"SRR5355244",-4.66849778781255,0.197830682304125
